strategy,evaluation_scope,feature_set,model,fallback_threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
system_specific_threshold,M2_to_M1,common13,random_forest_depth5,0.4,61,35,26,0.7126373626373627,0.68,0.6538461538461539,0.6666666666666666,0.22857142857142856,27,8,9,17
system_specific_threshold,Pooled_M1_M2_group_CV,common13,random_forest_depth5,0.4,112,65,47,0.8379705400981996,0.7959183673469388,0.8297872340425532,0.8125,0.15384615384615385,55,10,8,39
system_specific_threshold,M1_CV,common13,random_forest_depth5,0.5,61,35,26,0.7604395604395604,0.75,0.6923076923076923,0.72,0.17142857142857143,29,6,8,18
system_specific_threshold,M1_to_M2,common13,random_forest_depth5,0.5,51,30,21,0.7476190476190476,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.26666666666666666,22,8,5,16
system_specific_threshold,M2_CV,common13,random_forest_depth5,0.5,51,30,21,0.8428571428571427,0.7142857142857143,0.9523809523809523,0.8163265306122449,0.26666666666666666,22,8,1,20
system_specific_threshold,M2_to_M1,common13,random_forest_depth5,0.5,61,35,26,0.7126373626373627,0.68,0.6538461538461539,0.6666666666666666,0.22857142857142856,27,8,9,17
system_specific_threshold,Pooled_M1_M2_group_CV,common13,random_forest_depth5,0.5,112,65,47,0.8379705400981996,0.7959183673469388,0.8297872340425532,0.8125,0.15384615384615385,55,10,8,39
system_specific_threshold,M1_CV,common13,random_forest_depth5,0.6,61,35,26,0.7747252747252746,0.782608695652174,0.6923076923076923,0.7346938775510204,0.14285714285714285,30,5,8,18
system_specific_threshold,M1_to_M2,common13,random_forest_depth5,0.6,51,30,21,0.7476190476190476,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.26666666666666666,22,8,5,16
system_specific_threshold,M2_CV,common13,random_forest_depth5,0.6,51,30,21,0.8428571428571427,0.7142857142857143,0.9523809523809523,0.8163265306122449,0.26666666666666666,22,8,1,20
system_specific_threshold,M2_to_M1,common13,random_forest_depth5,0.6,61,35,26,0.7126373626373627,0.68,0.6538461538461539,0.6666666666666666,0.22857142857142856,27,8,9,17
system_specific_threshold,Pooled_M1_M2_group_CV,common13,random_forest_depth5,0.6,112,65,47,0.8379705400981996,0.7959183673469388,0.8297872340425532,0.8125,0.15384615384615385,55,10,8,39
