feature_set,model,threshold,m1_to_m2_balanced_accuracy,m2_to_m1_balanced_accuracy,pooled_balanced_accuracy,min_leave_manufacturer_ba,leave_manufacturer_ba_gap,min_recall,max_normal_fpr,m2_normal_fpr_vs_old_0_60,m2_fpr_improved_vs_old_failure,candidate_pass,decision
standard_common,hist_gradient_boosting,0.6,0.4380952380952381,0.4857142857142857,0.6193126022913257,0.4380952380952381,0.047619047619047616,0.0,0.26666666666666666,0.26666666666666666,True,False,label_window_recheck_required
standard_common_plus_system,hist_gradient_boosting,0.6,0.4380952380952381,0.4857142857142857,0.6222585924713584,0.4380952380952381,0.047619047619047616,0.0,0.26666666666666666,0.26666666666666666,True,False,label_window_recheck_required
standard_optional_dhw,hist_gradient_boosting,0.6,0.4331983805668016,0.5,0.5295091009376725,0.4331983805668016,0.0668016194331984,0.0,0.2653061224489796,0.21052631578947367,True,False,label_window_recheck_required
standard_common,xgboost_depth3,0.5,0.38809523809523805,0.573076923076923,0.6216039279869067,0.38809523809523805,0.184981684981685,0.14285714285714285,0.36666666666666664,0.36666666666666664,True,False,label_window_recheck_required
standard_optional_dhw,xgboost_depth3,0.6,0.44534412955465585,0.4875,0.5124103695532267,0.44534412955465585,0.042155870445344135,0.041666666666666664,0.32653061224489793,0.2631578947368421,True,False,label_window_recheck_required
standard_common,random_forest_depth3,0.4,0.4833333333333333,0.5,0.5273322422258593,0.4833333333333333,0.01666666666666672,0.6666666666666666,1.0,0.7,False,False,label_window_recheck_required
standard_common_plus_system,random_forest_depth5,0.4,0.4833333333333333,0.5,0.5338788870703765,0.4833333333333333,0.01666666666666672,0.6666666666666666,1.0,0.7,False,False,label_window_recheck_required
standard_optional_dhw,random_forest_depth5,0.4,0.5060728744939271,0.55,0.5992829564258135,0.5060728744939271,0.04392712550607292,0.5384615384615384,0.9,0.5263157894736842,True,False,label_window_recheck_required
standard_optional_dhw,xgboost_depth3,0.5,0.4838056680161943,0.5083333333333333,0.555984555984556,0.4838056680161943,0.024527665317139014,0.08333333333333333,0.42857142857142855,0.2631578947368421,True,False,label_window_recheck_required
standard_common,xgboost_depth3,0.6,0.40476190476190477,0.43351648351648353,0.6405891980360066,0.40476190476190477,0.028754578754578763,0.038461538461538464,0.3333333333333333,0.3333333333333333,True,False,label_window_recheck_required
