evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M2_to_M1,standard_common,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M2_to_M1,standard_common,extra_trees_depth3,0.4,61,35,26,0.5324175824175824,0.44680851063829785,0.8076923076923077,0.5753424657534246,0.7428571428571429,9,26,5,21
M2_to_M1,standard_common,extra_trees_depth3,0.5,61,35,26,0.48681318681318686,0.4,0.23076923076923078,0.2926829268292683,0.2571428571428571,26,9,20,6
M2_to_M1,standard_common,extra_trees_depth3,0.6,61,35,26,0.5192307692307693,1.0,0.038461538461538464,0.07407407407407407,0.0,35,0,25,1
M2_to_M1,standard_common,extra_trees_depth5,0.4,61,35,26,0.5560439560439561,0.46511627906976744,0.7692307692307693,0.5797101449275363,0.6571428571428571,12,23,6,20
M2_to_M1,standard_common,extra_trees_depth5,0.5,61,35,26,0.46813186813186813,0.38095238095238093,0.3076923076923077,0.3404255319148936,0.37142857142857144,22,13,18,8
M2_to_M1,standard_common,extra_trees_depth5,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M2_to_M1,standard_common,hist_gradient_boosting,0.4,61,35,26,0.4208791208791209,0.3448275862068966,0.38461538461538464,0.36363636363636365,0.5428571428571428,16,19,16,10
M2_to_M1,standard_common,hist_gradient_boosting,0.5,61,35,26,0.46703296703296704,0.2857142857142857,0.07692307692307693,0.12121212121212122,0.14285714285714285,30,5,24,2
M2_to_M1,standard_common,hist_gradient_boosting,0.6,61,35,26,0.4857142857142857,0.0,0.0,0.0,0.02857142857142857,34,1,26,0
M2_to_M1,standard_common,lightgbm_depth3,0.4,61,35,26,0.47307692307692306,0.391304347826087,0.34615384615384615,0.3673469387755102,0.4,21,14,17,9
M2_to_M1,standard_common,lightgbm_depth3,0.5,61,35,26,0.5010989010989011,0.42857142857142855,0.23076923076923078,0.3,0.22857142857142856,27,8,20,6
M2_to_M1,standard_common,lightgbm_depth3,0.6,61,35,26,0.48626373626373626,0.375,0.11538461538461539,0.17647058823529413,0.14285714285714285,30,5,23,3
M2_to_M1,standard_common,logistic_balanced,0.4,61,35,26,0.6214285714285714,0.5909090909090909,0.5,0.5416666666666666,0.2571428571428571,26,9,13,13
M2_to_M1,standard_common,logistic_balanced,0.5,61,35,26,0.5972527472527472,0.5789473684210527,0.4230769230769231,0.4888888888888889,0.22857142857142856,27,8,15,11
M2_to_M1,standard_common,logistic_balanced,0.6,61,35,26,0.5824175824175823,0.6153846153846154,0.3076923076923077,0.41025641025641024,0.14285714285714285,30,5,18,8
M2_to_M1,standard_common,random_forest_depth3,0.4,61,35,26,0.5,0.4262295081967213,1.0,0.5977011494252874,1.0,0,35,0,26
M2_to_M1,standard_common,random_forest_depth3,0.5,61,35,26,0.4950549450549451,0.423728813559322,0.9615384615384616,0.5882352941176471,0.9714285714285714,1,34,1,25
M2_to_M1,standard_common,random_forest_depth3,0.6,61,35,26,0.510989010989011,0.4444444444444444,0.3076923076923077,0.36363636363636365,0.2857142857142857,25,10,18,8
M2_to_M1,standard_common,random_forest_depth5,0.4,61,35,26,0.5,0.4262295081967213,1.0,0.5977011494252874,1.0,0,35,0,26
M2_to_M1,standard_common,random_forest_depth5,0.5,61,35,26,0.4950549450549451,0.423728813559322,0.9615384615384616,0.5882352941176471,0.9714285714285714,1,34,1,25
M2_to_M1,standard_common,random_forest_depth5,0.6,61,35,26,0.5450549450549451,0.48,0.46153846153846156,0.47058823529411764,0.37142857142857144,22,13,14,12
